Team,Type,Subtype,Period,Minute,Start Time [s],End Time [s],From,To,Start X,Start Y,End X,End Y
Away,SET PIECE,KICK OFF,1,0,0.04,0.0,Player19,,,,,
Away,PASS,,1,0,0.04,0.12,Player19,Player21,-5.3,7.48,5.3,4.76
Away,PASS,,1,0,0.12,0.68,Player21,Player15,5.3,4.76,8.48,19.72
Away,PASS,,1,0,1.8,2.44,Player15,Player19,5.3,21.08,-5.3,12.92
Away,PASS,,1,0,3.08,3.84,Player19,Player21,-5.3,12.24,-1.06,2.04
Away,PASS,,1,0,7.64,8.68,Player21,Player22,-10.6,-15.64,-19.08,-32.64
Away,PASS,,1,0,11.16,12.12,Player22,Player17,-11.66,-31.28,-1.06,-32.64
Away,BALL LOST,INTERCEPTION,1,0,13.84,15.2,Player17,,1.06,-31.96,-24.38,-17.0
Home,RECOVERY,INTERCEPTION,1,0,15.12,15.12,Player2,,-24.38,-19.04,,
Home,BALL LOST,INTERCEPTION,1,0,15.12,18.08,Player2,,-24.38,-19.04,9.54,-9.52
Away,RECOVERY,INTERCEPTION,1,0,18.12,18.12,Player16,,7.42,-11.56,,
Away,BALL LOST,HEAD-INTERCEPTION,1,0,18.12,19.88,Player16,,7.42,-11.56,-18.02,-10.2
Away,CHALLENGE,AERIAL-LOST,1,0,19.88,19.88,Player18,,-12.72,-11.56,,
Home,CHALLENGE,AERIAL-WON,1,0,19.92,19.92,Player2,,-14.84,-11.56,,
Home,RECOVERY,INTERCEPTION,1,0,19.92,19.92,Player2,,-14.84,-11.56,,
Home,PASS,HEAD,1,0,19.92,21.44,Player2,Player9,-14.84,-11.56,3.18,-6.12
Home,PASS,,1,0,21.44,22.24,Player9,Player10,3.18,-6.12,0.0,-10.2
Home,BALL LOST,INTERCEPTION,1,0,22.88,24.64,Player10,,0.0,-10.2,18.02,4.08
Away,RECOVERY,INTERCEPTION,1,0,24.72,24.72,Player16,,14.84,2.72,,
Away,PASS,,1,0,30.52,31.36,Player16,Player19,8.48,15.64,1.06,11.56
Away,PASS,,1,0,31.36,32.16,Player19,Player20,1.06,11.56,7.42,2.04
Away,PASS,,1,0,33.36,35.24,Player20,Player22,3.18,-2.04,-6.36,-28.56
Away,PASS,,1,0,39.04,40.4,Player22,Player17,-14.84,-31.28,-2.12,-24.48
Away,BALL LOST,INTERCEPTION,1,0,44.4,45.36,Player17,,-8.48,-19.72,-20.14,-23.12
Home,RECOVERY,INTERCEPTION,1,0,45.36,45.36,Player5,,-19.08,-26.52,,
Home,PASS,HEAD,1,0,45.36,46.16,Player5,Player6,-19.08,-26.52,-20.14,-19.04
Home,PASS,,1,0,46.16,47.08,Player6,Player10,-20.14,-19.04,-9.54,-16.32
Home,PASS,,1,0,49.04,50.64,Player10,Player8,-4.24,-12.24,6.36,10.88
Home,BALL LOST,INTERCEPTION,1,0,54.8,55.0,Player8,,38.16,16.32,40.28,14.96
Away,RECOVERY,INTERCEPTION,1,0,54.96,54.96,Player15,,39.22,14.28,,
Away,BALL OUT,,1,0,54.96,57.0,Player15,,39.22,14.28,58.3,22.44
Home,SET PIECE,CORNER KICK,1,1,85.72,85.72,Player6,,,,,
Home,PASS,,1,1,85.72,87.36,Player6,Player10,53.0,33.32,42.4,27.88
Home,PASS,CROSS,1,1,90.52,91.56,Player10,Player9,41.34,24.48,44.52,2.04
Home,SHOT,HEAD-ON TARGET-GOAL,1,1,91.56,92.36,Player9,,44.52,2.04,54.06,-3.4
Away,SET PIECE,KICK OFF,1,2,147.0,147.0,Player19,,,,,
Away,PASS,,1,2,147.0,148.12,Player19,Player21,-1.06,-0.0,8.48,-1.36
Away,PASS,,1,2,151.2,152.2,Player21,Player20,7.42,-2.04,8.48,-15.64
Away,PASS,,1,2,153.16,154.16,Player20,Player22,7.42,-17.68,2.12,-32.64
Away,PASS,,1,2,155.28,156.28,Player22,Player17,5.3,-30.6,20.14,-25.16
Away,PASS,,1,2,157.2,159.76,Player17,Player25,22.26,-24.48,45.58,-3.4
Away,BALL OUT,,1,2,163.72,166.56,Player25,,45.58,-4.08,-1.06,-36.72
Home,SET PIECE,THROW IN,1,2,175.44,175.44,Player1,,,,,
Home,PASS,,1,2,175.44,177.8,Player1,Player10,-1.06,-34.68,5.3,-23.12
Home,BALL LOST,,1,2,177.8,178.12,Player10,,5.3,-23.12,7.42,-19.04
Away,RECOVERY,,1,2,178.08,178.08,Player19,,6.36,-21.76,,
Away,BALL LOST,INTERCEPTION,1,2,179.56,180.72,Player19,,4.24,-25.16,-2.12,-23.8
Home,RECOVERY,INTERCEPTION,1,3,180.64,180.64,Player1,,0.0,-25.16,,
