Sem,Local,Goles1,Goles2,Visitante,Sedes
1,Ponferradina,1,2,Castellon,Estadio El Toralin
1,Sporting Gijon,1,0,UD Logroñes,Estadio Municipal El Molinon
1,Leganes,1,0,Las Palmas,Estadio Municipal de Butarque
1,Espanyol,3,0,Albacete,RCDE Stadium
1,Oviedo,0,0,Cartagena,Estadio Nuevo Carlos Tartiere
1,Mallorca,0,1,Rayo Vallecano,Iberostar Estadi
1,CD Mirandes,0,0,Alcorcon,Estadio Municipal de Anduva
1,Fuenlabrada,2,0,Lugo,Estadio Fernando Torres
1,Tenerife,2,0,Malaga,Estadio Heliodoro Rodriguez Lopez
2,CD Mirandes,1,1,Oviedo,Estadio Municipal de Anduva
2,Alcorcon,2,0,Tenerife,Estadio Santo Domingo
2,Castellon,0,1,Malaga,Nou Estadi Castalia
2,Rayo Vallecano,2,1,Sabadell,Estadio del Rayo Vallecano
2,Lugo,2,1,Leganes,Estadio Anxo Carro
2,Espanyol,0,0,Mallorca,RCDE Stadium
2,Cartagena,0,1,Sporting Gijon,Estadio Municipal Cartagonova
2,Albacete,0,2,Ponferradina,Estadio Carlos Belmonte
2,Las Palmas,3,3,Fuenlabrada,Estadio de Gran Canaria
3,Zaragoza,2,2,Las Palmas,Estadio de la Romareda
3,Sporting Gijon,2,0,Girona,Estadio Municipal El Molinon
3,UD Logroñes,1,1,Castellon,Estadio Nuevo Municipal Las Gaunas
3,Malaga,1,0,Alcorcon,Estadio La Rosaleda
3,Fuenlabrada,1,0,Albacete,Estadio Fernando Torres
3,Lugo,0,2,Almeria,Estadio Anxo Carro
3,Mallorca,1,0,Sabadell,Iberostar Estadi
3,Tenerife,1,2,CD Mirandes,Estadio Heliodoro Rodriguez Lopez
3,Ponferradina,3,0,Rayo Vallecano,Estadio El Toralin
3,Oviedo,0,2,Espanyol,Estadio Nuevo Carlos Tartiere
3,Leganes,3,1,Cartagena,Estadio Municipal de Butarque
4,CD Mirandes,0,1,Ponferradina,Estadio Municipal de Anduva
4,Alcorcon,0,3,Zaragoza,Estadio Santo Domingo
4,Albacete,1,1,Oviedo,Estadio Carlos Belmonte
4,Mallorca,2,0,Tenerife,Iberostar Estadi
4,Las Palmas,2,1,UD Logroñes,Estadio de Gran Canaria
4,Rayo Vallecano,4,0,Malaga,Estadio del Rayo Vallecano
4,Girona,0,1,Fuenlabrada,Estadi Municipal de Montilivi
4,Sabadell,0,1,Espanyol,Estadi de la Nova Creu Alta
4,Almeria,0,1,Sporting Gijon,Estadio de los Juegos Mediterraneos
4,Castellon,2,0,Leganes,Nou Estadi Castalia
4,Cartagena,2,1,Lugo,Estadio Municipal Cartagonova
5,Sabadell,0,2,CD Mirandes,Estadi de la Nova Creu Alta
5,Espanyol,1,0,Alcorcon,RCDE Stadium
5,UD Logroñes,1,0,Almeria,Estadio Nuevo Municipal Las Gaunas
5,Tenerife,1,0,Rayo Vallecano,Estadio Heliodoro Rodriguez Lopez
5,Fuenlabrada,1,1,Castellon,Estadio Fernando Torres
5,Lugo,0,1,Mallorca,Estadio Anxo Carro
5,Leganes,0,1,Girona,Estadio Municipal de Butarque
5,Malaga,0,0,Las Palmas,Estadio La Rosaleda
5,Zaragoza,1,0,Albacete,Estadio de la Romareda
5,Ponferradina,0,2,Cartagena,Estadio El Toralin
5,Oviedo,1,0,Sporting Gijon,Estadio Nuevo Carlos Tartiere
6,Albacete,3,0,Sabadell,Estadio Carlos Belmonte
6,Las Palmas,2,0,Almeria,Estadio de Gran Canaria
6,Cartagena,1,1,Fuenlabrada,Estadio Municipal Cartagonova
6,UD Logroñes,0,1,Leganes,Estadio Nuevo Municipal Las Gaunas
6,Castellon,0,1,Lugo,Nou Estadi Castalia
6,Rayo Vallecano,1,0,Espanyol,Estadio del Rayo Vallecano
6,CD Mirandes,0,0,Mallorca,Estadio Municipal de Anduva
6,Zaragoza,1,2,Malaga,Estadio de la Romareda
6,Girona,1,0,Oviedo,Estadi Municipal de Montilivi
6,Sporting Gijon,1,1,Tenerife,Estadio Municipal El Molinon
7,Espanyol,2,0,CD Mirandes,RCDE Stadium
7,Las Palmas,2,1,Castellon,Estadio de Gran Canaria
7,Lugo,3,0,Girona,Estadio Anxo Carro
7,Ponferradina,1,0,Tenerife,Estadio El Toralin
7,Almeria,1,1,Cartagena,Estadio de los Juegos Mediterraneos
7,Fuenlabrada,0,0,UD Logroñes,Estadio Fernando Torres
7,Leganes,1,0,Zaragoza,Estadio Municipal de Butarque
7,Oviedo,0,0,Rayo Vallecano,Estadio Nuevo Carlos Tartiere
7,Mallorca,0,0,Albacete,Iberostar Estadi
7,Malaga,1,0,Sporting Gijon,Estadio La Rosaleda
8,UD Logroñes,2,3,Lugo,Estadio Nuevo Municipal Las Gaunas
8,Cartagena,3,0,Las Palmas,Estadio Municipal Cartagonova
8,Castellon,0,1,Girona,Nou Estadi Castalia
8,Almeria,3,0,Fuenlabrada,Estadio de los Juegos Mediterraneos
8,Sporting Gijon,2,1,Ponferradina,Estadio Municipal El Molinon
8,Tenerife,0,0,Espanyol,Estadio Heliodoro Rodriguez Lopez
8,Leganes,2,1,Oviedo,Estadio Municipal de Butarque
8,Malaga,1,1,CD Mirandes,Estadio La Rosaleda
