"equipo","ciudad"
"Espanyol","Barcelona"
"Mallorca","Palma"
"Leganes","Leganes"
"Almeria","Almeria"
"Girona","Girona"
"Rayo Vallecano","Payaso Fofo"
"Sporting Gijon","Gijon"
"Ponferradina","Ponferrada"
"Las Palmas","Las Palmas de Gran Canaria"
"CD Mirandes","Miranda de Ebro"
"Fuenlabrada","Fuenlabrada"
"Malaga","Malaga"
"Oviedo","Oviedo"
"Tenerife","Santa Cruz de Tenerife"
"Zaragoza","Zaragoza"
"Cartagena","Murcia"
"Alcorcon","Alcorcon"
"Lugo","Lugo"
"Sabadell","Sabadell"
"UD Logroñes","Logroño"
"Castellon","Castellon"
"Albacete","Albacete"
